English,Spanish,
you,tú,
I or I .,Yo o yo.,
to,a,
the,el,
a or A .,a o a.,
and,y,
that,eso,
it,él,
of,de,
me,a mí,
what,qué,
is,es,
in,en,
this,este,
know,saber,
I'm,Soy,
for,para,
no,No,
have,tener,
my,mi,
don't,no,
just,justo,
not,no,
do,hacer,
be,ser,
on,en,
your,su,
was,era,
we,nosotros,
it's,es,
with,con,
so,entonces,
but,pero,
all,todo,
well,Bueno,
are,son,
he,él,
oh,Vaya,
about,acerca de,
right,bien,
you're,estás,
get,conseguir,
here,aquí,
out,afuera,
going,yendo,
like,como,
yeah,sí,
if,si,
her,su,
she,ella,
can,poder,
up,arriba,
want,desear,
think,pensar,
that's,eso es,
now,ahora,
go,ir,
him,a él,
at,en,
how,cómo,
got,consiguió,
there,allá,
one,uno,
did,hizo,
why,por qué,
see,ver,
come,venir,
good,bien,
they,ellos,
really,en realidad,
as,como,
would,haría,
look,mirar,
when,cuando,
time,tiempo,
will,voluntad,
okay,bueno,(see also ok)
back,atrás,
can't,no poder,
mean,significar,
tell,decir,
I'll,Enfermo,
from,de,
hey,ey,
were,eran,
he's,él es,
could,podría,
didn't,no,
yes,Sí,
his,su,
been,estado,
or,o,
something,algo,
who,OMS,
because,porque,
some,alguno,
had,tenía,
then,entonces,
say,decir,
ok,OK,(see also okay)
take,llevar,
an,un,
way,forma,
us,a nosotros,
little,pequeño,
make,hacer,
need,necesidad,
gonna,ir a,
never,nunca,
we're,eran,
too,también,
love,amar,
she's,Ella es,
I've,He,
sure,seguro,
them,a ellos,
more,más,
over,encima,
our,nuestro,
sorry,Lo siento,
where,dónde,
what's,qué,
let,dejar,
thing,cosa,
am,soy,
maybe,tal vez,
down,abajo,
man,hombre,
has,tiene,
uh,oh,
very,muy,
by,por,
there's,hay,
should,debería,
anything,cualquier cosa,
said,dicho,
much,mucho,
any,cualquier,
life,vida,
even,incluso,
off,apagado,
please,por favor,
doing,haciendo,
thank,agradecer,
give,dar,
only,solo,
thought,pensamiento,
help,ayuda,
two,dos,
talk,hablar,
people,gente,
god,dios,
still,aún,
wait,esperar,
into,en,
find,encontrar,
nothing,nada,
again,de nuevo,
things,cosas,
let's,vamos,
doesn't,no,
call,llamar,
told,dijo,
great,excelente,
before,antes,
better,mejor,
ever,alguna vez,
night,noche,
than,que,
away,lejos,
first,primero,
believe,creer,
other,otro,
feel,sentir,
everything,todo,
work,trabajar,
you've,tienes,
fine,bien,
home,hogar,
after,después,
last,último,
these,estos,
day,día,
keep,mantener,
does,hace,
put,poner,
around,alrededor,
stop,detener,
they're,ellos son,
I'd,Identificación,
guy,chico,
long,largo,
isn't,no es,
always,siempre,
listen,escuchar,
wanted,buscado,
Mr .,Señor .,
guys,tipo,
huh,eh,
those,aquellos,
big,grande,
lot,lote,
happened,sucedió,
thanks,gracias,
won't,no,
trying,intentando,
kind,amable,
wrong,equivocado,
through,a través de,
talking,hablando,
made,hecho,
new,nuevo,
being,ser,
guess,adivinar,
hi,Hola,
care,cuidado,
bad,malo,
mom,mamá,
remember,recordar,
getting,conseguir,
we'll,Bueno,
together,juntos,
dad,papá,
leave,dejar,
mother,madre,
place,lugar,
understand,entender,
wouldn't,no,
actually,de hecho,
hear,escuchar,
baby,bebé,
nice,lindo,
father,padre,
else,demás,
stay,permanecer,
done,hecho,
wasn't,no,
their,su,
course,curso,
might,podría,
mind,mente,
every,cada,
enough,suficiente,
try,intentar,
hell,infierno,
came,vino,
someone,alguien,
you'll,tu,
own,propio,
family,familia,
whole,entero,
another,otro,
house or House,casa o casa,
Jack or jack,Jack o Jack,
yourself,tú mismo,
idea,idea,
ask,preguntar,
best,mejor,
must,debe,
coming,próximo,
old,viejo,
looking,mirando,
woman,mujer,
hello,Hola,
which,cual,
years,años,
room,habitación,
money,dinero,
left,izquierda,
knew,sabía,
tonight,esta noche,
real,real,
son,hijo,
hope,esperanza,
name,nombre,
same,mismo,
went,fue,
um,um,
hmm,Mmm,
happy,feliz,
pretty,bonito,
saw,sierra,
girl,chica,
sir,Señor,
show,espectáculo,
friend,amigo,
already,ya,
saying,dicho,
may or May,puede o puede,
next,próximo,
three,tres,
job,trabajo,
problem,problema,
minute,minuto,
found,encontró,
world,mundo,
thinking,pensamiento,
haven't,no,
heard,escuchó,
honey,Miel,
matter,asunto,
myself,mí mismo,
couldn't,no pude,
exactly,exactamente,
having,teniendo,
ah,ahorcado,
probably,probablemente,
happen,suceder,
we've,tenemos,
hurt,herir,
boy,chico,
both,ambos,
while,mientras,
dead,muerto,
gotta,tengo que,
alone,solo,
since,desde,
excuse,disculpar,
start,comenzar,
kill,matar,
